File ID	File Name	Data Category	Data Type	Project ID	Case ID	Sample ID	Sample Type
841bc733-99d8-4670-b202-4873c8522401	0c548b67-ee0e-415b-9abe-3adfa907aa5b.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-SARC	TCGA-IE-A4EH	TCGA-IE-A4EH-01A	Primary Tumor
8fa9c02a-9d7d-470a-93ec-1e4c0c5bd8a4	eebd8d7d-4797-4fa2-a0f5-c479ba8c2104.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-SARC	TCGA-KD-A5QS	TCGA-KD-A5QS-01A	Primary Tumor
40ac8d05-101a-439b-a849-07ab86bd0083	204b4c83-bba2-48bd-9c13-61a346f26b01.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-SARC	TCGA-WP-A9GB	TCGA-WP-A9GB-01A	Primary Tumor
1f8569b9-ab78-4c6d-9c00-872e4fbd25dc	b48ec0d3-a63b-4f93-b8ca-14875377724a.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-UCEC	TCGA-FI-A3PX	TCGA-FI-A3PX-01A	Primary Tumor
55b76058-0ffc-46b8-8509-1bbcb856dce2	2ee1195e-4b7b-474c-97ad-9d339214d08f.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-UCEC	TCGA-BG-A221	TCGA-BG-A221-01A	Primary Tumor
17617bec-4a4e-4cfd-bb60-18ce8cbfe933	c51397e3-6fa4-40ed-b822-f3af8adf80a0.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-UCEC	TCGA-EY-A1GK	TCGA-EY-A1GK-01A	Primary Tumor
92ad811e-80b4-40bb-8358-4262aacd357c	869c06bb-c3f3-454e-b43d-3bea53585540.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-UCEC	TCGA-BG-A2AE	TCGA-BG-A2AE-01A	Primary Tumor
44f1cc7f-3674-41e5-ab57-27cecab9923b	6ac09968-001a-4ee8-9aae-c3e7a46c728f.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-UCEC	TCGA-AX-A1CE	TCGA-AX-A1CE-01A	Primary Tumor
eae9e91c-b2a5-446f-864b-5b2809bfe20d	d0655562-fde7-45c1-8cbf-35addbd5753b.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-UCEC	TCGA-DI-A2QY	TCGA-DI-A2QY-01A	Primary Tumor
4ebf234c-555e-42aa-8517-32dc6325e8b3	9316e258-e626-4a41-ab07-85210c5290b8.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-UCEC	TCGA-D1-A1O8	TCGA-D1-A1O8-01A	Primary Tumor
